其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
宝贝公主OVA,《宝贝公主》是公野樱子执笔，壬生夏月负责插绘和人设，电击G's杂志发行的轻小说，STUDIO COMET制作的OVA动画。故事讲述的是主人公阳太郎在外婆去世后，流离失所的他与天使光（女主）相遇，并被以失散多年的哥哥的身份介绍到光（女主）家。后来，阳太郎发现光的家有从0岁到18岁排行分明，数量达到19人的姐妹，于是，阳太郎就要和这19位姐妹开始共同生活。,日本,OVA,Baby Princess 3Dぱらだいす0,公野櫻子,彗星社,2011-07-20,完结,搞笑 后宫,搞笑 后宫,http://baby-princess3d.jp/
向阳素描×SP,真-治愈系《向阳素描》第四季预热用OVA。,日本,OVA,ひだまりスケッチ×SP,蒼樹うめ,SHAFT,2011-10-29,完结,校园 百合 日常 治愈,校园 百合 日常 治愈,http://www.tbs.co.jp/anime/hidamari/
一骑当千 集锷斗士血风录,于2012年发售的日本OVA动画，接于《一骑当千》TV动画系列第四季后，是一骑动画系列首次独立发售的OVA，不同于以往附在DVD/BD中的短篇OVA，也是第一次使用全汉字后缀作为标题。本季OVA只有1集，片长约40分钟，剧编方面采用了新阵容监督久城凛和编剧仓田英之，其他阵容基本不变。故事讲述孙策伯符带领着南阳学院一行人前往京都展开”集锷旅行“，而在京都戴着”刀之锷“的继承了战国武将之魂的全新斗士等待着他们，一场以京都地区为舞台的全新战斗即将展开。为接下来对应漫画第二章关西大战的剧情奠定了基础。,日本,OVA,一騎当千 集鍔闘士血風録,塩崎雄二,ARMS,2011-11-12,完结,校园 热血 战斗,校园 热血 战斗,http://www.ikkitousen.com/
迷糊软网社,电视动画《迷糊软网社》改编自日本漫画家安土凉（あづち凉）原作的同名漫画，主要讲述了在一个位于北海道的白玉国中软式网球社中，社长和迷糊的社员共同努力一步步地为朝着北海道软式网球大赛而奋斗着的故事，是一部既具有幽默搞笑的氛围而又不失热血要素的作品。,日本,TV,そふてにっ,あづち涼,XEBEC,2011-04-07,完结,搞笑 校园 运动 百合,搞笑 校园 运动 百合,http://www.softenni.com/
京骚戏画,人类与妖怪共生，在逐渐混沌的世界中互相对立的三股势力。,日本,WEB,京騒戯画,東堂いづみ,東映動画,2011-12-10,完结,奇幻 猎奇,奇幻 猎奇,http://www.kyousogiga.com/
魁拔之十万火急,在偏远的兽国窝窝乡，蛮吉和蛮大人这两个“独行族妖侠”，整天为了取得象征着成功和光荣的“妖侠纹耀”而刻苦修炼“脉术”，却把他们所生活的“窝窝乡”弄得鸡犬不宁，村民们绞尽脑汁想把他们赶走。一天，消灭魁拔的征兵令突然传到窝窝乡，村民们惊愕之余，村长趁机忽悠蛮大人和蛮吉从军参战。,中国,剧场版,魁拔之十万火急,暂无,北京青青树动漫科技有限公司,2011-07-08,完结,奇幻 武侠 战斗,奇幻 武侠 战斗,http://kuiba.ent.sina.com.cn/
异国迷宫的十字路口,电视动画《异国迷宫的十字路口》改编自武田日向创作的同名漫画，讲述了在欧洲正值流行日本文化的十九世纪后半，号称长崎第一看板娘的和服萝莉汤音独身一人来到遥远繁华如迷宫的法国，她的成长和与年轻老板的克洛德的往来的巴黎滞留记。动画由安田贤司担任导演，池田真美子担任总编剧，SATELIGHT负责制作，由动画公司SATELIGHT制作。作品于2011年7月3日—9月18日播出，共12话。,日本,TV,異国迷路のクロワーゼ The Animation,武田日向,SATELIGHT,2011-07-03,完结,日常 治愈,日常 治愈 萝莉,http://www.ikokumeiro.com/
放浪男孩,《放浪男孩》是根据日本漫画家志村贵子作画的同名漫画改编的电视动画作品，于2011年1月13日起于在富士电视台的“noitaminA”播出，共播出11集（原定12集）。播出的第10集为原本第10集和第11集的剪辑版，原本的12集作为第11集播出。而BD/DVD的第5、6卷收录了原本的第10集和11集。,日本,TV,放浪息子,志村貴子,AIC Classic,2011-01-13,完结,校园 青春 治愈,校园 青春 治愈 伪娘,http://www.houroumusuko.jp
机动战士高达SEED HD重制版,重制版。,日本,TV,機動戦士ガンダムSEED HDリマスター,矢立肇,SUNRISE,2011-12-23,完结,科幻 热血 机战,科幻 热血 机战,http://www.gundam-seed.net/
游戏王ZEXAL,《游戏王ZEXAL》是《游戏王》系列的第4部作品，标题logo采用了全新的设计，继承将世界观中游戏卡片被称为“Duel Monster”的说法。该作品也是最后一部由原作者高桥和希参与主要角色及世界观设定的《游戏王》系列动画。,日本,TV,遊☆戯☆王ZEXAL,高橋和希,Studio Gallop,2011-04-11,完结,奇幻 竞技,奇幻 竞技,http://www.tv-tokyo.co.jp/anime/yugioh-zexal/
幻想万华镜,《幻想万华镜》，全名《幻想万华镜 ~The Memories Of Phantasm~》，是同人社团满福神社创作的东方Project二次创作同人动画，于2011年开始推出，其音乐由幽闭星光负责制作。,日本,OVA,幻想万華鏡,上海アリス幻樂団,満福神社,2011-08-13,连载,奇幻 美少女,奇幻 美少女,http://manpukujinja.blog135.fc2.com/
奈奈与薰的SM日记,高中生熏和奈奈从小就是青梅竹马，熏就连做梦都一直妄想着和奈奈做SM的事情。也许这就是命运的捉弄，某一天奈奈居然真的穿上束缚装站在了熏的面前。多年来的梦想居然变成了现实，致使熏的S魂正式觉醒。于是，两个人不可告人的秘密故事就这样展开了。,日本,OVA,ナナとカオル,甘詰留太,AIC PLUS+,2011-03-29,完结,其他,其他,暂无
强袭魔女剧场版,"人类比太古,异形的存在和展开了战斗。",日本,剧场版,ストライクウィッチーズ 劇場版,島田フミカネ / Projekt Kagonish,AIC,2012-04-01,完结,战争 百合 科幻 奇幻,冒险 百合 悬疑 科幻 奇幻 战争,http://s-witch.cute.or.jp/movie
夏目友人帐 第四季,《夏目友人帐肆》是由日本动画公司Brain's Base制作的电视动画作品，于2012年1月2日播放，全13话。作品改编自绿川幸的漫画《夏目友人帐》。,日本,TV,夏目友人帳 肆,緑川ゆき,Brain's Base,2012-01-03,完结,奇幻 搞笑 神魔 励志 治愈,奇幻 搞笑 神魔 励志 治愈,http://www.natsume-anime.jp/
加速世界,电视动画《加速世界》改编自日本轻小说家川原砾原作的同名轻小说。,日本,TV,アクセル・ワールド,川原礫,SUNRISE,2012-04-07,完结,冒险 科幻 校园 后宫 战斗,励志 战斗 校园 冒险 后宫 战斗 悬疑 科幻 游戏 剧情 轻小说,http://www.accel-world.net/
潜行吧！奈亚子,电视动画《潜行吧！奈亚子》是根据逢空万太创作同名轻小说改编的动画作品，由XEBEC制作。于2012年4月9日起在东京电视台首播，全12话。动画第二季《潜行吧！奈亚子W》于2013年4月7日开播。,日本,TV,這いよれ！ニャル子さん,逢空万太,XEBEC,2012-04-10,完结,搞笑 后宫 奇幻,搞笑 励志 冒险 后宫 百合 奇幻 科幻 轻小说 欢乐向,http://www.nyaruko.com/
这个是僵尸吗？ 第二季,电视动画《这样算是僵尸吗？OF THE DEAD（これはゾンビですか？ オブ·ザ·デッド）》改编自日本小说家木村心一著作的轻小说《这样算是僵尸吗？》，是该系列动画的第2期作品。,日本,TV,これはゾンビですか? オブ・ザ・デッド,木村心一,STUDIO DEEN,2011-01-10,完结,搞笑 后宫 神魔 战斗,搞笑 校园 冒险 后宫 科幻 神魔 伪娘 美少女 轻小说 欢乐向,http://kadokawa-anime.jp/zombie/
就算是哥哥有爱就没问题了对吧,电视动画《就算是哥哥，有爱就没问题了，对吧》改编自日本轻小说家铃木大辅原作的同名轻小说，于2012年5月24日正式宣布TV动画化。电视动画于2012年10月5日开始播放，全12集。,日本,TV,お兄ちゃんだけど愛さえあれば関係ないよねっ,铃木大辅,SILVER LINK.,2012-10-05,完结,搞笑 青春 爱情 后宫,搞笑 青春 爱情 后宫 治愈 美少女 轻小说 欢乐向,http://oniai.com/
冰菓,电视动画《冰菓》改编自日本推理小说家米泽穗信原作的《古典部系列》小说，以该系列的第1部《冰菓》为标题。,日本,TV,氷菓,米澤穂信,京都动画,2012-04-23,完结,校园 悬疑 爱情 治愈 励志,励志 校园 青春 爱情 治愈 悬疑 推理,http://www.kotenbu.com/
Campione 弑神者,电视动画《弑神者！～不顺从之神与弑神的魔王～》改编自日本小说家丈月城著作的同名轻小说。,日本,TV,カンピオーネ！ ～まつろわぬ神々と神殺しの魔王～,丈月城,diomedéa,2012-07-06,完结,奇幻 后宫 战斗 神魔,奇幻 后宫 战斗 神魔 美少女 轻小说,http://www.campi-anime.com/
要听爸爸的话！,电视动画《要听爸爸的话！》改编自日本小说家松智洋著作的同名轻小说。,日本,TV,パパのいうことを聞きなさい！,松智洋,feel.,2012-01-10,完结,青春 励志 爱情 治愈,励志 校园 青春 爱情 治愈 萝莉 社会 职场 剧情 教育 亲子 轻小说,http://king-cr.jp/special/papakiki/
散华礼弥,电视动画《散华礼弥》改编自日本漫画家服部充原作的同名漫画。,日本,TV,さんかれあ,服部充,Studio DEEN,2012-04-06,完结,校园 爱情 奇幻,校园 奇幻 爱情 剧情,http://www.studio-hami.net/sanka/sanka.html
樱花庄的宠物女孩,电视动画《樱花庄的宠物女孩》改编自日本轻小说家鸭志田一原作的同名轻小说,日本,TV,さくら荘のペットな彼女,鴨志田一,J.C.STAFF,2012-10-08,完结,搞笑 校园 爱情 励志 治愈,搞笑 励志 校园 青春 爱情 治愈 轻小说,http://sakurasou.tv/
零之使魔 第四季,电视动画《零之使魔F》改编自日本轻小说家山口升原作的轻小说《零之使魔》系列，亦是改系列动画的完结篇，标题中的“F”即“Final”之意。,日本,TV,ゼロの使い魔F,ヤマグチノボル,J.C.STAFF,2012-01-07,完结,搞笑 冒险 奇幻 后宫 魔法,搞笑 冒险 奇幻 后宫 魔法 治愈 萝莉 轻小说,http://mediafactory.co.jp/anime/zero-tsukaima/
织田信奈的野望,2012年夏季新番电视动画《织田信奈的野望》改编自春日御影著作、美山零负责插画的同名轻小说的历史穿越题材作品。,日本,TV,織田信奈の野望,春日みかげ,MADHOUSE / Studio五組,2012-07-09,完结,冒险 战争 奇幻 后宫,冒险 战争 奇幻 后宫 历史 美少女 轻小说,http://odanobuna.com/
中二病也要谈恋爱！,电视动画《中二病也要谈恋爱！》改编自日本小说家虎虎原作的同名轻小说。,日本,TV,中二病でも恋がしたい！,虎虎,京都动画,2012-10-03,完结,搞笑 爱情 校园 治愈,搞笑 励志 校园 青春 爱情 治愈 轻小说,http://www.anime-chu-2.com/
Fate/Zero 第二季,电视动画《Fate/Zero》是根据虚渊玄著作的同名小说改编的电视动画，TYPE-MOON于2010年12月21日公布了Fate/Zero的动画化的消息，由ufotable负责制作。,日本,TV,Fate/Zero,TYPE-MOON / 虚淵玄,ufotable,2012-04-08,完结,冒险 奇幻 神魔 战斗,冒险 奇幻 神魔 战斗 剧情 轻小说,http://www.fate-zero.jp/
DOG DAYS 第二季,《DOG DAYS'》是由都筑真纪与SEVEN ARCS携手打造的原创TV动画，为《Dog Days》的第二季。,日本,TV,DOG DAYS',都築真紀,SEVEN・ARCS,2012-07-07,完结,励志 战斗 后宫 奇幻 魔法,励志 战斗 后宫 奇幻 魔法,http://www.dogdays.tv/2nd/
Another,《替身》是根据日本推理作家绫辻行人的推理小说《Another（アナザー）》改编的同名电视动画。,日本,TV,Another,綾辻行人,P.A.WORKS,2012-01-09,完结,悬疑 推理 校园 奇幻,悬疑 推理 校园 奇幻 恐怖 血腥 剧情,http://www.another-anime.jp/
机器人笔记,电视动画《机器人笔记》改编自日本5pb与Nitroplus共同打造的同名冒险游戏，也是继《CHAOS;HEAD（混沌之脑）》和《Steins;Gate（命运石之门）》后的“科学幻想adv系列”的第三弹作品。,日本,TV,Robotics;Notes,MAGES,Production I.G,2012-10-11,完结,悬疑 科幻 励志,悬疑 科幻 励志 校园 青春,http://roboticsnotes.tv/
法外制裁者,电视动画《法外制裁者》改编自日本漫画家上条明峰原作的同名漫画。,日本,TV,コード：ブレイカー,上条明峰,KINEMA CITRUS,2012-10-06,完结,奇幻 战斗 犯罪,奇幻 战斗 犯罪,http://www.code-breaker.jp/
谜之彼女X,电视动画《谜样女友X（谜の彼女X）》改编自日本漫画家植芝理一原作的同名漫画。,日本,TV,謎の彼女X,植芝理一,Hoods Entertainment,2012-04-08,完结,校园 青春 爱情,校园 青春 爱情,http://king-cr.jp/special/nazokano_x/
恋爱与选举与巧克力,电视动画《恋爱与选举与巧克力》改编自sprite公司发售的同名美少女恋爱游戏。,日本,TV,恋と選挙とチョコレート,sprite/fairys,AIC Build,2012-07-05,完结,搞笑 校园 后宫,搞笑 校园 后宫,http://www.koichoco.com/
旋风管家 第三季,《旋风管家！CAN'T TAKE MY EYES OFF YOU》是由漫画作品《旋风管家！》原作者畑健二郎亲自编写原创剧情的动画作品。,日本,TV,ハヤテのごとく! CAN'T TAKE MY EYES OFF YOU,畑健二郎,Manglobe,2012-10-03,完结,搞笑 励志 校园 青春 后宫,搞笑 励志 校园 青春 后宫 治愈 萝莉,http://www.hayate-project.com/
元气少女缘结神,电视动画《元气少女缘结神》改编自日本漫画家铃木JULIETTA原作的同名漫画。,日本,TV,神様はじめました,铃木JULIETTA,TMS Entertainment,2012-10-01,完结,搞笑 爱情 治愈 神魔,搞笑 爱情 治愈 神魔 女性向,http://mikagesha.com/
人类衰退之后,电视动画《人类衰退之后》改编自日本轻小说家田中罗密欧原作的同名轻小说。,日本,TV,人類は衰退しました,田中罗密欧,AIC ASTA,2012-07-02,完结,搞笑 奇幻 治愈,搞笑 奇幻 治愈 轻小说,https://www.marv.jp/special/jintai/
To LOVE Darkness,电视动画《出包王女Darkness》是根据由日本插画家长谷见沙贵负责脚本、漫画家矢吹健太朗作画的同名漫画改编的动画作品。,日本,TV,To LOVEる -とらぶる- ダークネス,矢吹健太朗,XEBEC,2012-10-05,完结,搞笑 校园 后宫,搞笑 校园 青春 爱情 后宫 治愈 奇幻 科幻 美少女 欢乐向,http://www.j-toloveru.com/
伊克西翁传说DT,电视动画《伊克西翁传说DT（イクシオン サーガ DT，IXION SAGA DT）》是根据由日本电视游戏软件公司制作、Capcom发行的网络游戏《伊克西翁传说（イクシオン サーガ DT，IXION SAGA）》改编的动画作品。,日本,TV,イクシオン サーガ DT,カプコン,Brain's Base,2012-10-07,完结,搞笑 冒险 奇幻,搞笑 冒险 奇幻 游戏,http://ixion-saga-anime.jp/
女神异闻录4剧场版,女神异闻录4剧场版全集将女神异闻录4TV上放送的第1~25集以及新增剪切剧情和BD&DVD第十卷预定收录的TV未放送的以稻羽市发生的连续诱拐杀人事件为中心的“True End Episode”的再编集，共计约90分钟内容。,日本,剧场版,PERSONA4 the Animation -the Factor of Hope-,アトラス,AIC,2012-06-09,完结,奇幻 冒险 战斗,奇幻 冒险 战斗 游戏,暂无
来自新世界,电视动画《来自新世界》是根据贵志祐介原作同名小说改编的动画作品。由A-1 Pictures制作，于2012年9月28日首播，共25话。,日本,TV,新世界より,貴志祐介,A-1 Pictures,2012-09-28,完结,奇幻 冒险 剧情,奇幻 冒险 剧情,http://www.tv-asahi.co.jp/shinsekaiyori/
一起一起这里那里,电视动画《一起一起这里那里》改编自日本漫画家异识原作的同名漫画。,日本,TV,あっちこっち,異識,AIC,2012-04-06,完结,爱情 治愈 日常,爱情 治愈 日常,http://okotak.fc2web.com/
邻座的怪同学,电视动画《邻座的怪同学》改编自日本女漫画家ろびこ（robico）原创的同名以青春校园为题材的少女漫画，由Brain's Base公司制作。,日本,TV,となりの怪物くん,ろびこ,Brain's Base,2012-10-01,完结,爱情 校园 治愈,爱情 校园 治愈,http://www.tk-anime.info/
只要你说你爱我,电视动画《只要你说你爱我》改编自日本漫画家叶月鼎（叶月かなえ）原作的同名漫画。,日本,TV,好きっていいなよ。,葉月かなえ,ZEXCS,2012-10-06,完结,爱情 校园 女性向,爱情 校园 女性向,http://king-cr.jp/special/sukinayo/
黄昏少女×失忆,电视动画《黄昏乙女×失忆幽灵》改编自日本漫画家めいびい原作的同名漫画。,日本,TV,黄昏乙女×アムネジア,めいびい,SILVER LINK.,2012-04-08,完结,爱情 校园 奇幻 治愈,爱情 校园 奇幻 治愈 悬疑,http://amnesia-tv.com/
绝对纯白魔法少女OVA,预定于在C82上发售的同人动画《绝对纯白魔法少女》于本日公开了首个PV片段。本作原本是游戏《战场的女武神》系列人设RAITA的成人向同人本《魔法少女》系列，卖点是4位巨乳魔法少女和露出度非常高的变身服装。《绝对纯白魔法少女》则是RAITA在C81上所发售的”妄想魔法少女们被动画化“的线稿集。现在这个”妄想“意外地被《超电磁炮》《加速世界》的总作画监督柳伸亮实现了，《绝对纯白魔法少女》的动画BD将于8月12日召开的C82上以同人映像的形式发售，售价3465日元。柳伸亮在本片中首次挑战监督职位，担任人设和作画监督的则是曾任《Kiss sis》和《初恋限定》人设的下谷智之。值得称道的是本片的声优阵容也很豪华，集结了能登麻美子、田中理惠和川澄绫子三位实力声优和近一年人气暴涨的茅野爱衣。此外据上周末召开的WF2012手办展，本作的手办化展开也在有条不紊的进行中，或许将来也能成为一个颇有人气和生命力的系列作品也说不定。,日本,OVA,絶対純白魔法少女 OVA,RAITA,project No.9,2012-08-12,完结,奇幻 魔法,奇幻 魔法,http://www.geocities.jp/raita_z/magicalgirl.html
